Juez,Condición,n,W,p,Normal?
GPT-5,baseline,39,0.8999,0.0022,No
GPT-5,bdi_only,39,0.8677,0.0003,No
GPT-5,rag_only,39,0.8946,0.0015,No
GPT-5,bdi_rag,39,0.8502,0.0001,No
Gemini 3 Flash,baseline,39,0.8778,0.0005,No
Gemini 3 Flash,bdi_only,39,0.8785,0.0006,No
Gemini 3 Flash,rag_only,39,0.8382,0.0001,No
Gemini 3 Flash,bdi_rag,39,0.8139,0.0000,No
Qwen 3.6 Plus,baseline,39,0.9222,0.0102,No
Qwen 3.6 Plus,bdi_only,39,0.8662,0.0003,No
Qwen 3.6 Plus,rag_only,39,0.8744,0.0004,No
Qwen 3.6 Plus,bdi_rag,39,0.8898,0.0011,No
