Juez,Condicion,n,Mediana,IQR,Media,DE,Min,Max,W_Shapiro,p_Shapiro,Normal
GPT-5,baseline,39,5.0,1.0,5.59,1.04,4,8,0.8999,0.0022,No
GPT-5,bdi_only,39,6.0,1.0,5.67,1.03,4,9,0.8677,2.95e-04,No
GPT-5,rag_only,39,7.0,1.0,7.23,1.11,5,9,0.8946,0.0015,No
GPT-5,bdi_rag,39,8.0,2.0,7.74,1.16,5,9,0.8502,1.09e-04,No
Gemini 3 Flash,baseline,39,4.0,1.0,4.36,1.06,3,7,0.8778,5.41e-04,No
Gemini 3 Flash,bdi_only,39,5.0,1.0,4.67,1.15,3,7,0.8785,5.65e-04,No
Gemini 3 Flash,rag_only,39,8.0,2.0,7.74,1.29,4,9,0.8382,5.71e-05,No
Gemini 3 Flash,bdi_rag,39,8.0,2.0,7.9,1.19,5,9,0.8139,1.65e-05,No
Qwen 3.6 Plus,baseline,39,4.0,1.0,3.72,1.19,1,7,0.9222,0.0102,No
Qwen 3.6 Plus,bdi_only,39,3.0,1.0,3.74,1.25,2,7,0.8662,2.71e-04,No
Qwen 3.6 Plus,rag_only,39,7.0,3.0,7.21,1.49,3,9,0.8744,4.40e-04,No
Qwen 3.6 Plus,bdi_rag,39,8.0,2.0,7.54,1.25,4,9,0.8898,0.0011,No
