condicion;rol;persona_score;rag_score;bdi_score;estabilidad_rol;autenticidad_lexica;autenticidad_emocional;goal_directedness;tactical_consistency;factual_grounding;answer_relevance
A — Baseline;tercero;4,295;;;4,333333333333333;3,6923333333333335;4,231;4,666666666666667;4,666666666666667;4,179333333333333;4,871666666666667
A — Baseline;victima;4,483;;;5,0;3,641;4,435666666666667;5,0;4,512666666666667;4,308;4,692333333333333
A — Baseline;victimario;4,325;;;4,666666666666667;4,179666666666667;4,359;4,666666666666667;4,461666666666667;3,6153333333333335;4,410333333333333
B — RAG only;tercero;4,342;0,63;;4,666666666666667;3,8716666666666666;4,205333333333333;4,666666666666667;4,513;4,128333333333333;4,718
B — RAG only;victima;4,555666666666666;0,6023333333333333;;5,0;3,6923333333333335;4,512666666666667;5,0;4,538333333333333;4,589666666666667;4,795
B — RAG only;victimario;4,299;0,6226666666666666;;4,333333333333333;4,230666666666667;4,205;4,666666666666667;4,436;3,923;4,59
C — BDI only;tercero;4,3886666666666665;;4,846;4,666666666666667;3,872;4,179666666666667;4,666666666666667;4,641;4,307666666666667;4,923
C — BDI only;victima;4,46;;4,718333333333333;5,0;3,5383333333333336;4,589666666666667;4,666666666666667;4,615333333333333;4,333333333333333;4,846
C — BDI only;victimario;4,282333333333334;;4,611;4,666666666666667;4,139;4,222333333333333;4,666666666666667;4,528;3,472;4,555666666666666
D — BDI+RAG;tercero;4,423;0,6796666666666668;4,628;4,666666666666667;4,0;4,307666666666667;4,666666666666667;4,487;4,41;4,897333333333333
D — BDI+RAG;victima;4,521333333333334;0,6086666666666667;4,538333333333333;5,0;3,7436666666666665;4,436;5,0;4,512666666666667;4,436333333333333;4,743666666666667
D — BDI+RAG;victimario;4,373333333333334;0,5936666666666667;4,743666666666667;4,666666666666667;4,333333333333333;4,230666666666667;5,0;4,461666666666667;3,547;4,461666666666667
