condicion,actor_id,turno,conflict_vocab_overlap_rag,conflict_vocab_overlap_base,delta_conflict_vocab_overlap,ngram_overlap_weighted_rag,ngram_overlap_weighted_base,delta_ngram_overlap_weighted,conflict_vocab_count_rag,conflict_vocab_count_base,delta_conflict_vocab_count,conflict_vocab_density_response_rag,conflict_vocab_density_response_base,delta_conflict_vocab_density_response,autenticidad_lexica_rag,autenticidad_lexica_base,delta_autenticidad_lexica,autenticidad_emocional_rag,autenticidad_emocional_base,delta_autenticidad_emocional,goal_directedness_rag,goal_directedness_base,delta_goal_directedness,tactical_consistency_rag,tactical_consistency_base,delta_tactical_consistency,factual_grounding_rag,factual_grounding_base,delta_factual_grounding,grounding_score_rag,grounding_score_base,delta_grounding_score
bdi_only,tercero,1,,,,,,,10,7,3.0,0.0938,0.0682,0.0256,4.0,4.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0,,,
bdi_only,tercero,2,,,,,,,8,7,1.0,0.0488,0.0531,-0.0043,4.0,4.0,0.0,3.0,4.0,-1.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,3,,,,,,,16,12,4.0,0.0725,0.0722,0.0003,4.0,4.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,4,,,,,,,13,14,-1.0,0.0566,0.0521,0.0045,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,,,
bdi_only,tercero,5,,,,,,,13,14,-1.0,0.0725,0.0677,0.0048,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,6,,,,,,,20,20,0.0,0.0976,0.1101,-0.0125,4.0,4.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,7,,,,,,,20,13,7.0,0.088,0.0407,0.0473,4.0,4.0,0.0,4.0,3.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,8,,,,,,,12,16,-4.0,0.0333,0.0584,-0.0251,2.0,3.0,-1.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,3.0,4.0,-1.0,,,
bdi_only,tercero,9,,,,,,,9,12,-3.0,0.0478,0.0413,0.0065,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,10,,,,,,,14,17,-3.0,0.0552,0.0685,-0.0133,4.0,3.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0,,,
bdi_only,tercero,11,,,,,,,16,13,3.0,0.0577,0.0537,0.004,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,12,,,,,,,16,17,-1.0,0.0502,0.0442,0.006,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,,,
bdi_only,tercero,13,,,,,,,18,23,-5.0,0.0535,0.0736,-0.0201,3.0,3.0,0.0,4.0,3.0,1.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,,,
bdi_only,tercero,14,,,,,,,14,26,-12.0,0.0545,0.0678,-0.0133,3.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,0.0,5.0,4.0,1.0,3.0,3.0,0.0,,,
bdi_only,tercero,15,,,,,,,8,10,-2.0,0.036,0.0279,0.0081,3.0,4.0,-1.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0,,,
bdi_only,tercero,16,,,,,,,13,15,-2.0,0.0423,0.0514,-0.0091,4.0,4.0,0.0,4.0,3.0,1.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,3.0,1.0,,,
bdi_only,tercero,17,,,,,,,18,22,-4.0,0.0615,0.0751,-0.0136,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,,,
bdi_only,tercero,18,,,,,,,25,17,8.0,0.0721,0.0798,-0.0077,2.0,2.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,5.0,-1.0,3.0,4.0,-1.0,,,
bdi_only,tercero,19,,,,,,,20,12,8.0,0.0665,0.0547,0.0118,2.0,2.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,,,
