ngrama,frecuencia,tfidf,specificity_score,ngram_size,rol
gente,13228,0.024672,0.176088,1,tercero
personas,5037,0.019767,0.143795,1,tercero
organizacion,8242,0.019584,0.244315,1,tercero
tema,7639,0.019535,0.161869,1,tercero
estado,5766,0.019347,0.138526,1,tercero
proceso,4967,0.017888,0.151483,1,tercero
guerrilla,4439,0.017518,0.205418,1,tercero
trabajo,3614,0.017192,0.126244,1,tercero
colombia,4115,0.017132,0.153297,1,tercero
conflicto,3578,0.016906,0.166668,1,tercero
grupos,3063,0.016597,0.145484,1,tercero
zona,3616,0.016509,0.141284,1,tercero
pais,3151,0.016509,0.171657,1,tercero
epoca,3720,0.016386,0.201268,1,tercero
gobierno,4003,0.016201,0.120081,1,tercero
paramilitares,3288,0.01617,0.197732,1,tercero
ejercito,3741,0.016128,0.188803,1,tercero
violencia,2602,0.01605,0.147352,1,tercero
territorio,3180,0.015966,0.150535,1,tercero
familia,2620,0.015676,0.125197,1,tercero
frente,2986,0.015517,0.12821,1,tercero
politica,3621,0.015395,0.178643,1,tercero
importante,2831,0.015291,0.123884,1,tercero
policia,2900,0.015263,0.172687,1,tercero
situacion,2520,0.015114,0.177531,1,tercero
paz,3381,0.01502,0.128541,1,tercero
senor,2903,0.014988,0.18968,1,tercero
comunidad,2755,0.014885,0.13116,1,tercero
pueblo,2296,0.014816,0.118997,1,tercero
derechos,2237,0.014526,0.123362,1,tercero
social,2181,0.014317,0.116328,1,tercero
nacional,2325,0.014293,0.108899,1,tercero
publica,2585,0.014079,0.143557,1,tercero
guerra,2852,0.014054,0.113541,1,tercero
mama,2219,0.013966,0.148332,1,tercero
mujeres,2574,0.013957,0.112446,1,tercero
comunidades,2441,0.013955,0.137259,1,tercero
fuerza,2234,0.013891,0.120488,1,tercero
presencia,2243,0.013855,0.128422,1,tercero
farc,2405,0.013794,0.155731,1,tercero
trabajar,1603,0.013739,0.119495,1,tercero
ademas,2003,0.013707,0.148584,1,tercero
armado,1910,0.013692,0.147218,1,tercero
plata,2057,0.013648,0.123444,1,tercero
mataron,1696,0.013594,0.148218,1,tercero
informacion,1930,0.013395,0.15461,1,tercero
