ngrama,frecuencia,tfidf,specificity_score,ngram_size,rol
gente,20790,0.026314,0.187807,1,victima
usted,21401,0.026226,0.222724,1,victima
despues,10631,0.022596,0.214587,1,victima
guerrilla,9776,0.021224,0.248875,1,victima
personas,8671,0.0207,0.150582,1,victima
momento,9023,0.020447,0.154851,1,victima
familia,7336,0.019925,0.159132,1,victima
paso,6719,0.019763,0.16464,1,victima
mama,7779,0.019075,0.202594,1,victima
papa,8122,0.018775,0.18084,1,victima
senor,7192,0.018475,0.23381,1,victima
pueblo,6320,0.018441,0.148112,1,victima
creo,7704,0.018408,0.136017,1,victima
ejercito,6613,0.018314,0.214393,1,victima
paramilitares,5465,0.017891,0.218777,1,victima
tenian,5382,0.017868,0.208429,1,victima
hijos,5552,0.017734,0.150606,1,victima
trabajo,5717,0.017531,0.128733,1,victima
verdad,5134,0.01731,0.132278,1,victima
mataron,4665,0.017128,0.186749,1,victima
finca,5130,0.016973,0.193791,1,victima
hicieron,4041,0.016326,0.149112,1,victima
comunidad,4249,0.015958,0.140615,1,victima
hijo,4244,0.015888,0.131649,1,victima
grupos,3569,0.015792,0.138427,1,victima
senora,3931,0.015623,0.211886,1,victima
colombia,5464,0.015359,0.137432,1,victima
plata,3957,0.015346,0.138802,1,victima
policia,3817,0.015185,0.171804,1,victima
situacion,3674,0.01502,0.176427,1,victima
miedo,3206,0.014997,0.129735,1,victima
vivir,3062,0.014975,0.128875,1,victima
zona,4077,0.014876,0.127309,1,victima
ninos,3546,0.014858,0.195963,1,victima
epoca,3669,0.014782,0.181567,1,victima
gobierno,3529,0.014655,0.108622,1,victima
vereda,2771,0.014644,0.174904,1,victima
tema,4698,0.014546,0.120529,1,victima
conflicto,3272,0.014386,0.141825,1,victima
pais,4115,0.014229,0.14795,1,victima
noche,3033,0.014202,0.112772,1,victima
violencia,2738,0.01406,0.129082,1,victima
victimas,2721,0.013991,0.169518,1,victima
duro,2760,0.013941,0.134279,1,victima
paz,2856,0.013686,0.117125,1,victima
mujeres,2879,0.01363,0.109812,1,victima
llevaron,2454,0.013474,0.139203,1,victima
matar,2570,0.013459,0.129948,1,victima
territorio,3192,0.013376,0.126116,1,victima
mujer,2393,0.013263,0.104697,1,victima
tierra,2641,0.013119,0.109904,1,victima
problema,2681,0.013045,0.105098,1,victima
hechos,2160,0.013028,0.120456,1,victima
hija,2314,0.01297,0.117533,1,victima
mal,2323,0.012916,0.100487,1,victima
nino,2529,0.01272,0.160585,1,victima
desplazamiento,1760,0.012667,0.146207,1,victima
hermanos,1985,0.01261,0.12032,1,victima
coca,2374,0.012592,0.135391,1,victima
hermana,2050,0.012574,0.119699,1,victima
salio,2077,0.012415,0.140464,1,victima
ayuda,1712,0.012407,0.104776,1,victima
alguien,2123,0.012394,0.093298,1,victima
farc,2074,0.012314,0.139022,1,victima
