condicion,actor_id,turno,tipologia,n_palabras_chunks,n_palabras_respuesta,conflict_vocab_density_response,conflict_vocab_count,conflict_vocab_words_response,rag_transfer_limpio,rag_transfer_lexical,rag_transfer_eufemismos,rag_transfer_expresiones,top_k_similarity,scores_por_chunk,role_purity,n_docs_total,n_docs_rol,usado_fallback,lexical_diversity
baseline,tercero,1,cerrada,0,283,0.0954,25,actores|armado|armados|civil|comunidad|conflicto|derechos|diferentes|estado|frente|grupos|institucion|justicia|llega|miedo|organizacion|organizaciones|papel|personas|presencia|responsabilidad|rio|trabajo|violencia|zona,,,,,,,,,,,
baseline,tercero,2,abierta,0,318,0.0692,20,amenazas|armado|armados|comunidad|conflicto|cultivos|cultura|desplazamiento|estado|familia|gente|grupos|miedo|mil|paz|presencia|rio|trabajo|vereda|violencia,,,,,,,,,,,
baseline,tercero,3,abierta,0,369,0.1003,29,actores|armado|armados|civil|comunidad|conoci|control|farc|frente|fuerza|grupos|guerra|guerrilleros|justicia|llega|masacre|memoria|miedo|mil|militar|militares|paramilitares|presencia|rio|social|sociales|territorio|violencia|zona,,,,,,,,,,,
baseline,tercero,4,abierta,0,360,0.075,30,amenazas|armado|armados|comunidad|conflicto|conoci|control|desplazamiento|familia|fuerza|gente|grupos|guerrilleros|hijos|institucion|masacre|miedo|mil|militar|militares|pais|paramilitares|personas|rio|seguridad|situacion|social|tierra|tierras|violencia,,,,,,,,,,,
baseline,tercero,5,cerrada,0,333,0.0571,23,accion|amenazas|armado|armados|comunidad|conflicto|conoci|desplazamiento|diferentes|familia|fuerza|gente|grupos|hijos|impacto|memoria|miedo|mil|movimiento|personas|presencia|situacion|vereda,,,,,,,,,,,
baseline,tercero,6,abierta,0,368,0.0788,24,accion|amenazas|armado|armados|civil|comunidad|decision|derechos|diferentes|estrategia|familia|grupos|justicia|miedo|mil|movimiento|personas|recursos|rio|sector|sectores|social|territorio|violencia,,,,,,,,,,,
baseline,tercero,7,abierta,0,359,0.0362,15,accion|armado|armados|comunidad|conflicto|familia|gente|grupos|impacto|justicia|memoria|miedo|mil|personas|responsabilidad,,,,,,,,,,,
baseline,tercero,8,abierta,0,355,0.0479,18,armado|armados|comunidad|conflicto|conoci|conocimiento|gente|grupos|justicia|masacre|memoria|miedo|movimiento|personas|rio|seguridad|situacion|vereda,,,,,,,,,,,
baseline,tercero,9,cerrada,0,376,0.0665,19,accion|amenazas|armado|armados|comunidad|conflicto|conoci|conocimiento|desplazamiento|estrategia|grupos|justicia|miedo|movimiento|presencia|seguridad|situacion|violencia|zona,,,,,,,,,,,
baseline,tercero,10,confrontativa,0,398,0.0503,15,comunidad|conflicto|desplazamiento|familia|frente|gente|importante|justicia|memoria|miedo|mil|pais|papel|proceso|violencia,,,,,,,,,,,
baseline,tercero,11,confrontativa,0,354,0.048,15,accion|armado|armados|comunidad|conflicto|desplazamiento|frente|gente|grupos|justicia|memoria|miedo|personas|social|violencia,,,,,,,,,,,
baseline,tercero,12,abierta,0,395,0.0481,17,accion|armado|armados|civil|comunidad|conflicto|conoci|decision|grupos|impacto|justicia|miedo|papel|personas|rio|social|violencia,,,,,,,,,,,
baseline,tercero,13,abierta,0,345,0.029,12,armado|comunidad|comunidades|conflicto|gente|impacto|importante|justicia|memoria|miedo|mil|rio,,,,,,,,,,,
baseline,victima,1,cerrada,0,211,0.0948,15,amenazas|comunidad|cultivos|desplazamiento|familia|guerrilla|miedo|militar|paramilitares|paz|social|vereda|violencia|vivir|zona,,,,,,,,,,,
baseline,victima,2,abierta,0,218,0.0688,17,armado|armados|comunidad|familia|familiar|grupos|mal|miedo|momento|paz|recuerdo|reunion|rio|social|tierra|vereda|violencia,,,,,,,,,,,
baseline,victima,3,abierta,0,315,0.0444,12,armado|armados|familia|gente|grupos|miedo|partes|recuerdo|rio|vereda|violencia|vivido,,,,,,,,,,,
baseline,victima,4,cerrada,0,257,0.07,12,amenazas|armado|armados|comunidad|conflicto|grupos|miedo|momento|personas|vereda|violencia|vivir,,,,,,,,,,,
baseline,victima,5,abierta,0,269,0.0297,10,alguien|cultivos|duro|familia|recuerdo|rio|territorio|tierra|vereda|vive,,,,,,,,,,,
baseline,victima,6,abierta,0,348,0.0517,19,alguien|armado|armados|campo|desplazamiento|familia|grupos|hicieron|miedo|momento|noche|pais|paso|pueblo|recuerdo|tierra|vereda|violencia|vivir,,,,,,,,,,,
baseline,victima,7,abierta,0,389,0.0334,15,comunidad|desplazamiento|escuela|familia|hijo|hijos|mal|momento|oportunidad|recuerdo|rio|tierra|trabajo|vivido|vivir,,,,,,,,,,,
baseline,victima,8,abierta,0,289,0.0381,11,ayuda|conflicto|derechos|desplazamiento|familia|familias|momento|recuerdo|rio|violencia|vivido,,,,,,,,,,,
baseline,victima,9,abierta,0,383,0.0339,15,campo|comunidad|desplazamiento|familia|familiar|hijo|hijos|importante|pais|paz|quedaron|recuerdo|social|tierra|vereda,,,,,,,,,,,
baseline,victima,10,confrontativa,0,325,0.0492,14,armado|armados|comunidad|desplazamiento|gente|grupos|importante|miedo|personas|recuerdo|tema|temor|tierra|violencia,,,,,,,,,,,
